"id","name","code","close_method","note","report_type"
"__export__.account_account_type_28","Asset View","Asset View","None","","Balance Sheet (Asset account)"
"l10n_au_manufacturing.account_type_bank","Bank","Bank","Balance","","Balance Sheet (Asset account)"
"l10n_au_manufacturing.account_type_cost_of_sales","Cost of Sales","Cost of Sales","None","","Profit & Loss (Expense account)"
"l10n_au_manufacturing.account_type_credit_card","Credit Card","Credit Card","Balance","","Balance Sheet (Liability account)"
"l10n_au_manufacturing.account_type_current_assets","Current Assets","Current Assets","Balance","","Balance Sheet (Asset account)"
"l10n_au_manufacturing.account_type_current_liabilities","Current Liabilities","Current Liabilities","Balance","","Balance Sheet (Liability account)"
"l10n_au_manufacturing.account_type_equity","Equity","Equity","Balance","","Balance Sheet (Liability account)"
"l10n_au_manufacturing.account_type_expense","Expense","Expense","None","","Profit & Loss (Expense account)"
"__export__.account_account_type_30","Expense View","Expense View","None","","Profit & Loss (Expense account)"
"l10n_au_manufacturing.account_type_income","Income","Income","None","","Profit & Loss (Income account)"
"__export__.account_account_type_31","Income View","Income View","None","","Profit & Loss (Income account)"
"l10n_au_manufacturing.account_type_input_tax","Input Tax","Input Tax","Unreconciled","","Balance Sheet (Asset account)"
"__export__.account_account_type_29","Liability View ","Liability View ","None","","Balance Sheet (Liability account)"
"l10n_au_manufacturing.account_type_fixed_liabilities","Long Term Liabilities","Long Term Liabilities","Balance","","Balance Sheet (Liability account)"
"l10n_au_manufacturing.account_type_fixed_assets","Non Current Assets","Non Current Assets","Balance","","Balance Sheet (Asset account)"
"l10n_au_manufacturing.account_type_other_expense","Other Expense","Other Expense","None","","Profit & Loss (Expense account)"
"l10n_au_manufacturing.account_type_other_income","Other Income","Other Income","None","","Profit & Loss (Income account)"
"l10n_au_manufacturing.account_type_output_tax","Output Tax","Output Tax","Unreconciled","","Balance Sheet (Liability account)"
"l10n_au_manufacturing.account_type_payable","Payable","Payable","Unreconciled","","Balance Sheet (Liability account)"
"l10n_au_manufacturing.account_type_profit_and_loss","Profit and Loss","Profit and Loss","None","","/"
"l10n_au_manufacturing.account_type_receivable","Receivable","Receivable","Unreconciled","","Balance Sheet (Asset account)"
"account.data_account_type_asset","Asset","asset","Balance","","Balance Sheet (Asset account)"
"account.data_account_type_bank","Bank","bank","Balance","","/"
"account.data_account_type_cash","Cash","cash","Balance","","Balance Sheet (Asset account)"
"account.data_account_type_expense","Expense","expense","None","","Profit & Loss (Expense account)"
"account.data_account_type_income","Income","income","None","","Profit & Loss (Income account)"
"account.data_account_type_liability","Liability","liability","Balance","","Balance Sheet (Liability account)"
"account.data_account_type_payable","Payable","payable","Unreconciled","","Balance Sheet (Liability account)"
"account.data_account_type_receivable","Receivable","receivable","Unreconciled","","Balance Sheet (Asset account)"
"l10n_au_manufacturing.account_type_view","View","view","None","","/"
"account.data_account_type_view","Root/View","view","None","","/"
